NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Pearl River County,Mississippi,21188,2.59,86.9,15.9,8,88.4,1.6,3.2,35.1,54220,27549,15.8,24869,3.9,2,2.1,0.4,0.6,80.3,167700,56351,50.9,5.6,22.5,19.1,81.7,12.5,0.7,0.4,0,3.5,2.8,1.8,851,8231,4528,649,0,0,0,0,0,155,656969,55741,68.45154097
Perry County,Mississippi,4462,2.55,85.9,10.8,9.2,90.6,2.9,4.3,27.6,48333,24935,20.6,5453,1,1.9,3,0.3,0.1,80.1,126400,11511,49.9,5,22.1,18.6,80.4,11.6,0,1.8,0,5.9,4.1,1.9,139,1836,748,939.6666667,0,0,5.333333333,0,3.666666667,130.6666667,83837,1989,18.49947675
Pike County,Mississippi,14745,2.64,82.7,16.7,6.4,91.2,0.7,1.6,25.5,40131,23013,30.7,19014,2.1,4.2,2.9,2.1,3.4,65.1,115900,40098,52.8,6.5,25.6,17.2,42.7,54.2,0.4,0.5,0,1.6,1,0.6,917,13054,3440,749,24,0,0,0,0,64,664835,72451,96.05456179
Pontotoc County,Mississippi,11630,2.66,80.1,17.9,6.7,92.7,3.2,6.5,27.2,54414,26359,16.7,13915,2.6,0.7,0.3,0.4,0.5,72.1,136700,31202,51.3,6.8,26.3,15.1,75.7,14.8,0.2,0,0,3.6,6.8,2.7,513,11453,2310,363,0,0,0,0,0,56,326751,0,64.63711457
Prentiss County,Mississippi,9296,2.55,83.5,18.5,5.6,93.4,1.7,3.1,24.7,51578,27979,16.3,11008,1.8,2.8,0.9,0.2,1.5,77.6,112200,24945,50.8,6,22.1,17.7,80.6,10.7,0.1,2.5,0,5,2.8,0.4,487,5791,1575,441,0,0,0,0,0,44,185788,26373,60.54674164
Quitman County,Mississippi,2656,2.24,75.2,14.4,6.1,84.1,0.2,0.9,30.7,31192,18546,30.2,3065,0.7,4.6,4.7,0.6,1.3,57.3,65500,6113,52.9,6.1,22.8,17.8,25,71.9,0.3,0.1,0,2.5,0.3,0,107,671,472,87,0,0,0,0,0,0,18516,2037,16.76988448
Rankin County,Mississippi,58982,2.57,90,32.7,7.2,86.6,2.6,4.6,26,76460,36605,9.5,63629,0.7,2.2,3.6,3,2.3,76.9,203300,157185,51.6,5.5,22.6,16.1,73.1,21.6,0.3,1.2,0,2.4,2.4,1,3819,56620,13699,1856.666667,112.8333333,0,127.3333333,0,0,297.5,2676797,386161,200.2217835
Scott County,Mississippi,9696,2.85,77.7,11.1,5.2,94.8,5.3,10.5,25.3,44968,23043,21.9,11377,0.9,3.2,2,0.2,0.5,73.4,81300,27943,50.4,8.2,27.2,16.1,54,35.8,0.1,0.1,0,4.5,6.5,7.2,480,10740,1654,460,0,0,0,0,0,56,296112,33258,46.16308177
Sharkey County,Mississippi,1374,2.75,79.7,16,2.9,94.3,0,0.2,21.8,41000,22203,26.9,1705,5.6,1.6,6.7,1.1,0,57.9,88100,3910,50.1,6.2,23.9,17.6,26.5,72.5,0,0,0.5,0.3,0.2,0,104,708,356,0,0,0,0,0,0,0,30312,0,10.00880141
Simpson County,Mississippi,9534,2.66,80.1,16.5,6.3,92.2,1.8,2.8,29.2,50867,27920,17.1,11643,1.1,1.3,1.8,0.1,0.2,81.5,104600,25889,51.7,5.9,23.7,18.2,61.4,35.1,0.2,0.6,0.4,1.9,1.4,0.1,442,5364,1962,1856.666667,112.8333333,0,127.3333333,0,0,297.5,229492,33211,45.24707109
Smith County,Mississippi,5450,2.6,82,14.5,5.7,96.2,0.8,2.6,29.6,51983,25394,18.2,6690,0.9,0.6,0.8,0.5,0.6,87.1,120200,14310,52.9,6.1,23,20.3,74,24.3,0,0.4,0.4,0.9,0.1,0.1,160,2037,994,121,0,0,0,0,0,0,51969,0,25.01462249
Stone County,Mississippi,6517,2.7,85.6,14.3,8.7,88.7,0.5,3,35,55894,25768,20.8,7536,2.6,0.2,0.8,0.9,0.6,77.9,164400,18360,49,6,21.6,17.9,77.9,16.4,0.1,0.5,0.1,4.7,0.9,0.9,282,3247,1377,283,0,0,0,0,0,75,194668,21849,41.15965934
Sunflower County,Mississippi,8136,2.72,77,17.4,3.9,90.1,0.8,1.7,19.2,37403,18851,28.7,9426,3.7,3.9,8.1,0.7,1.2,56,103800,25867,46.7,5.4,21.4,14.4,23.6,73.6,0.1,0.1,0,2.4,1.8,0,414,5653,1834,404,0,0,0,0,0,0,206112,23057,35.98664572
Tallahatchie County,Mississippi,4301,2.82,78.1,11.7,5.9,91.2,1.6,1.9,27.4,35428,20348,25.7,5486,1.3,2.4,0.5,1.1,1,63.7,83400,12621,46.6,5.8,20.4,16.5,35.2,61.5,0,0.1,0,1.9,1.6,1.2,153,1502,782,0,0,0,0,0,0,0,45757,0,21.40189938
Tate County,Mississippi,10496,2.5,83.5,18.1,5.5,88.4,1.2,3,32.7,61286,28306,16.7,11397,3.2,0.7,0.9,0.1,1.5,73.7,163700,28094,51.6,5.9,22.7,16.4,66.9,30.5,0,0,0.1,2,0.7,0.3,388,3754,2276,2000.777778,134.3333333,0,207.1111111,0,40,360.6666667,207789,25907,69.96925998
Tippah County,Mississippi,8091,2.63,79.3,15.8,5.4,95.3,2,4.6,24.4,47968,27762,18.9,9891,1.7,1.4,0.6,1,1.2,72.7,117100,21769,51.3,5.2,23.8,16.8,77.1,14.5,0.1,0,0,4.7,4.8,1.4,374,5964,1496,298,0,0,0,0,0,0,143671,0,48.08632783
Tishomingo County,Mississippi,8463,2.19,81.5,14.8,6.1,89.8,1.9,2.9,22.7,45545,26896,19.2,10522,2.7,4.4,0.7,0.1,2,73.6,123100,18837,51.3,5.3,21.5,20.9,91.9,1.3,0.4,0.6,0,4.9,4.3,0.2,376,4866,1143,355,0,0,0,0,0,0,141483,0,45.68201187
Tunica County,Mississippi,3595,2.69,83.6,16.9,2.8,88.5,0.8,1.4,27.2,41676,20086,31.4,4637,5.4,7.1,15.6,7.6,0.9,43.7,150800,9787,50.6,8.9,28.5,12.9,18.3,80.6,0,0,0,0.4,1,0.4,175,4868,795,2000.777778,134.3333333,0,207.1111111,0,40,360.6666667,60772,605084,21.1842105
Union County,Mississippi,10227,2.69,77.6,17.7,5,91.2,2.6,3.8,24.5,55970,27373,12.3,12132,2.6,1.4,1.1,0.9,1.1,74.6,144900,27880,50.7,6.4,25.1,16.6,77.5,15.7,0.2,0.2,0,2.2,4.9,0.2,520,10180,2329,359,0,0,0,0,0,32,286732,43818,69.332279
Walthall County,Mississippi,5290,2.59,81.5,18.3,3.4,89.6,1.7,2.9,36.3,37145,25673,20.3,6882,1.7,0.7,0,0.1,0,82,113800,13888,49.9,5.5,23,19.9,52.8,40.9,0.4,0.2,0,3.9,4.4,0.1,206,2050,1192,175,0,0,0,0,0,0,72988,9348,35.36766887
Warren County,Mississippi,16823,2.6,87.7,26.8,6.5,90.8,2.4,4.9,21.1,54117,31701,18.1,21533,2.2,3.7,3.9,4,2.4,71.8,142100,44341,51.9,6.1,23.7,17.6,47.1,48.7,0.1,0.6,0,3.1,2,0.5,975,14312,3059,893,0,0,0,0,0,149,672099,300620,77.10902114
Washington County,Mississippi,17290,2.54,80.1,20.6,4.2,88,0.8,2.9,19.7,38394,23190,29.3,20927,3.9,3.1,3.3,2.1,5.4,57.8,93000,44604,52.9,6.8,25.3,17.1,24.6,72.1,0,0.8,0,1.1,1.7,0.1,1049,12447,3422,971,101,0,0,0,0,129,591582,143762,60.51053993
Wayne County,Mississippi,7410,2.65,82.5,19.8,3.8,93.6,4.2,6.2,30.5,34875,24479,22.1,9086,0.9,0.6,0.3,1.3,0,87.3,89100,19760,51.4,6.6,24.5,17.3,57.1,37.9,0,0,0,3.4,4,2.4,354,4746,1746,399,0,0,0,0,0,0,180149,0,24.89526724
Webster County,Mississippi,4065,2.42,84.8,17.9,5.3,91.3,0.7,1.2,31.4,55657,27836,15.8,5064,1.5,2.2,1.8,0.8,0.7,77.9,107700,9942,52.2,6.3,23.7,18.9,79.2,18.5,0.1,0.8,0,1,0.7,0.7,161,1545,875,0,0,0,0,0,0,0,51724,5580,23.00633415
Wilkinson County,Mississippi,3264,2.28,85.3,11.5,5.5,93.5,0,0.3,35.2,34928,22479,21.5,4600,0.5,0.8,2.4,0.5,0.2,82.1,78500,8531,46.2,5,20.9,18.1,28.8,67.4,0,0,0,1.5,3.1,0.9,122,1229,669,120,0,0,0,0,0,0,51053,0,12.72661861
Winston County,Mississippi,7131,2.42,85.5,17.4,7.8,83.7,0.2,1.5,25.5,45516,27743,26,8228,3.1,1.6,2.4,1.3,0.2,71.5,110100,17741,51.7,5.3,21.9,21.3,50,47,0.8,0.1,0,1.9,0.4,0.6,386,5083,1480,318,0,0,0,0,0,42,200693,18934,29.5676674
Yalobusha County,Mississippi,5106,2.4,84.5,12.3,6.7,90.5,0.3,2.6,28,47006,24719,20.5,6437,2.4,0.5,0.7,0.3,0.4,69.7,94100,12499,52.1,6,21.8,20.9,60.1,38.4,0.2,0.1,0,1,0.3,0.3,159,2160,959,101,0,0,0,0,0,0,57974,0,25.91883181
Yazoo County,Mississippi,8807,2.57,77,11.9,6.3,90.8,2.1,4.7,27,41867,19836,29.1,10418,1.3,3,5.6,1.6,0.6,57.4,117800,27467,41,5.4,21.2,13.2,37,60.7,0.4,0,0,1.5,0.7,3.3,347,3965,1858,1856.666667,112.8333333,0,127.3333333,0,0,297.5,165261,18317,32.18989242
Adair County,Missouri,8864,2.58,92,34.3,4.2,83.6,4.2,5.5,17.5,51020,28976,23.6,11354,6,9.2,2.9,1,2.1,61.9,146700,25299,52.1,5.5,18.2,14.9,90.1,4.1,0.4,1.9,0.1,2.9,1.2,1.2,562,7895,1680,532,0,0,0,0,0,0,307379,52496,44.67113162
Andrew County,Missouri,6865,2.61,94.5,26.1,8.5,94.4,1,3.1,21.7,68774,33722,7.6,7532,1.8,2.5,2.6,0.1,2.1,78.4,175300,18069,49.6,5.7,22.9,19.9,93.6,0.8,0,0.7,0,4.4,2.4,0.8,281,1677,1309,451,7.75,0,10,0,0,53,146612,4763,40.94017602
Atchison County,Missouri,2351,2.2,90.7,21.3,9,92.1,0.6,2.3,21.1,58521,32549,11.6,2746,1.5,6.7,1.2,0.6,0.8,72,96100,5270,49.4,4.8,20.7,25.3,94.9,0.3,0.3,0.2,0.1,3.4,2.8,0.7,181,1119,410,174,0,0,0,0,0,0,73394,0,9.397290612
Audrain County,Missouri,8968,2.62,86.8,15.4,6.7,86.3,2.3,5.8,22.6,51745,27133,18.1,10563,3.6,2.2,2,1.2,1.2,72,112300,24873,52.7,6.2,22.6,18,89.2,4.8,0.6,0.5,0.1,4.4,0.8,1.1,510,6284,1491,424,0,0,0,0,0,63,262699,22009,36.67488328
Barry County,Missouri,13415,2.57,85.5,14.9,9.9,87.6,4.2,8.6,23.2,55592,30932,18.5,17030,2.3,3.9,0.9,0.4,0.4,73.2,159000,34701,49.5,5.7,22.4,21.9,83.7,0.3,1.1,1.6,0,10.5,9.3,2.4,723,11917,2603,623,0,0,0,0,0,118,397009,35748,45.99687357
Barton County,Missouri,4477,2.58,86.6,18.3,6.2,89.3,0.4,2.5,23.1,48105,25637,22.2,5311,0.8,5.9,0.8,0,1.1,70.2,115600,11683,50.5,5.9,23.6,20.6,91.9,0.3,1.1,0,0,6.2,2.5,1.5,233,2313,944,257,0,0,0,0,0,0,112630,10966,19.85371802
Bates County,Missouri,5929,2.66,88.5,13.9,8.1,87.4,1,2.5,34.1,54122,27333,19.1,7225,0.4,6.3,0.9,0.5,0.3,73.1,151300,16101,49.9,6.3,23.6,19,93,2.1,0.5,0.4,0.1,2.7,2.5,0.5,350,2759,1201,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,180645,14940,19.32843632
Benton County,Missouri,8146,2.37,87.6,15,11.6,90.1,1.1,2.6,31,50229,31484,17.5,13591,0.6,1.6,1,0.6,0.5,82.6,154700,19616,49,4.2,17.3,30.7,93.7,0.7,0.8,0.1,0,4.3,2.6,0.6,393,2324,1643,347,0,0,0,0,0,87,191715,0,27.61622173
Bollinger County,Missouri,3791,2.75,84.3,11.7,8.1,86.1,0.6,1.1,33.4,52306,24647,14.9,5079,0.8,0.8,1.3,0.4,0.3,80.5,123500,10658,50.3,5.3,21.4,20.5,94.9,0.6,0.2,0.1,0,3.7,1.6,0.6,205,1428,848,766.3333333,19.66666667,0,0,0,2.666666667,0,68196,0,19.63572862
Boone County,Missouri,74269,2.35,94.8,49.7,5.3,79.4,6.6,8.2,18.8,66564,37393,17.8,80187,6.5,6.3,6.5,4.9,7.3,57.6,237600,184043,51.4,5.5,20.1,12.9,78.9,9.3,0.2,4.7,0.1,5.6,2.6,1,4615,77945,13309,3465,98,0,0,0,14,566,3410147,485207,263.2379222
Buchanan County,Missouri,33363,2.43,89.6,23.3,8,84.6,3.8,6.5,17,58303,31886,16.6,38368,3.9,4.5,4.2,2.3,5.4,63.4,149600,84544,49.4,6.1,22.5,16.8,83.2,5.9,0.4,1.3,0.3,6.2,5.6,1.7,2066,43517,4589,451,7.75,0,10,0,0,53,1410983,198323,213.9993114
Butler County,Missouri,16269,2.54,83.6,13.9,9.8,83.3,0.9,1.9,18.8,47245,25242,21.1,19336,4.3,3.5,3.7,0.5,1.7,65.4,132600,42280,51.1,6.4,23.3,19,87.7,5.1,0.4,0.2,0.1,5.1,2.3,1,1034,14177,2695,944,0,0,0,0,0,0,781854,74870,61.1484321
Caldwell County,Missouri,3480,2.5,89.8,16.8,11.3,88.3,1.2,2.4,32.8,58269,29673,16.1,4260,0.6,4.8,0.4,0.5,0.2,80,143300,8876,48.7,5.6,23.6,20,93.5,0.4,1,0.4,0.1,4.2,2,0.5,155,1259,682,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,101948,0,21.15423587
Callaway County,Missouri,15981,2.55,90.2,24.9,8.9,84.6,0.9,1.4,23.5,70599,31874,9.5,18573,3.6,2.8,2.8,0.8,0.6,77.3,184300,44517,48,5.4,20.8,16.9,90.3,4.3,0.4,0.1,0.2,4.2,1.6,0.8,746,11755,2623,718.5,23.5,0,0,0,8.5,0,339955,48031,53.6122401
Camden County,Missouri,16494,2.59,91.7,22.6,10.3,86.6,2.1,4.6,23.5,59834,35927,13.5,39729,1.8,2.8,2.8,15.1,5.7,81.9,248700,43227,50.3,4.3,17.4,28.6,94.7,0.9,0.3,0.5,0,2.8,1.8,0.9,1471,14199,4315,1214,0,0,0,0,0,0,791874,180888,70.58226385
Cape Girardeau County,Missouri,31578,2.47,91.8,33.6,6.9,83.1,2.5,3.8,20,65070,32619,14.5,35506,4.3,4.5,6,3.8,2.9,67.2,194200,81703,51.1,5.7,21.3,17,86,7.6,0.1,1.6,0.1,4,1.7,0.5,2342,36458,6118,766.3333333,19.66666667,0,0,0,2.666666667,0,1574181,197147,136.3274061
Carroll County,Missouri,3367,2.5,91.4,20.7,6.8,90,0.8,1,25.3,59101,30403,9.4,4381,1.5,3.9,0.8,1.5,1,71.1,105500,8513,49.9,5.1,22.2,21.9,94.8,2.1,0,0.1,0,2.9,0.4,0.5,202,1569,676,223,0,0,0,0,0,29,52929,0,12.49457062
Carter County,Missouri,1925,2.73,83.4,14.8,12.2,86.8,0.2,0.9,23.9,45737,27150,20.6,2705,3.5,2.3,0.3,0,0.7,69.4,181100,5299,51.1,6.1,21.9,20.2,94.1,1,0,0.1,0,4.8,1.4,1.7,148,1018,550,117,0,0,0,0,0,43,28653,5936,11.7904794
Cass County,Missouri,41524,2.58,94.1,27.9,8.9,88.2,1.3,2.9,29.2,82473,38766,7,44013,2,3.9,1.6,0.8,1.6,76.2,242300,108205,50.9,5.8,23.7,17.2,86.9,4.4,0.3,0.6,0.1,6,4.4,1.3,2107,21705,8194,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,1344367,128655,151.8486819
Cedar County,Missouri,5476,2.56,85.8,17.3,10.2,88.8,0.8,2.5,26.3,43589,27243,18.3,6953,0.1,4.7,0.3,0.7,0.8,73.6,152700,14314,48.9,6.4,24.1,23.4,93.5,0.3,0.2,0,0,4.4,2.7,0.4,303,2536,1278,215,0,0,0,0,0,57,116249,11644,30.24218282
Chariton County,Missouri,2591,2.77,92.1,21.4,10.6,93.5,1.2,2.8,24.7,61910,28616,13.3,3819,2.3,2.8,0.7,0.2,0.6,81.7,121000,7417,50,5.8,22.5,25,94.1,2.7,0.2,0,0,2,1.9,0.8,195,1273,620,0,0,0,0,0,0,0,57415,0,9.885806078
Christian County,Missouri,33411,2.67,92.8,31.9,8.5,89.4,2.6,4.1,25.6,75787,35587,8.7,35348,2.3,3.4,1.9,1.4,1.8,75.9,229200,89568,51,6.1,25.2,16.1,92.6,0.9,0.4,0.9,0.2,4.1,2.4,0.7,1999,15504,8309,1711.8,16.6,0,41,0,0,0,752551,96270,157.4608547
Clark County,Missouri,2300,2.88,89.6,12.9,8,93.5,0.3,3.4,29.9,53362,26417,10.9,3237,0.9,5.4,0.2,0.1,0.1,78.4,124600,6693,48.3,6.2,24.6,20.6,95.8,0.2,0.6,0.9,0,2.1,1.6,0,140,886,468,203,0,0,0,0,0,0,80852,3757,13.46990232
Clay County,Missouri,99501,2.52,93.8,34.9,7.2,85.4,5.3,7.3,23.3,82264,40278,8.3,105571,1.7,3.5,5.2,5.6,6.6,68.2,237200,253085,50.5,6.1,23.8,14.6,81.4,6.6,0.4,2.2,0.3,6.7,5,1.7,5399,112654,18835,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,3927895,824238,628.5385118
Clinton County,Missouri,8047,2.57,93.8,22.3,9.7,90,1.5,1.9,29.1,66494,31924,11.3,8955,4.2,3.6,1.4,0.4,0.3,75.9,187200,21155,49.8,5.3,23.4,18,94.4,0.8,0.2,0.5,0.1,3.4,1.4,0.8,375,2706,1449,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,161914,9681,48.66126391
Cole County,Missouri,30151,2.4,92.5,35.8,8.2,87.7,2.9,4.1,18.4,70667,35519,9.4,33304,6.2,8.2,3.7,3.2,3.8,67.3,198900,76890,49.3,5.7,22.2,17.3,82,11.4,0.2,1.6,0,4.1,2.4,0.5,2200,35363,5319,718.5,23.5,0,0,0,8.5,0,1374929,163408,196.00417
Cooper County,Missouri,6125,2.52,90.5,23.3,8.5,89.3,0.9,3,27.6,62239,27471,13,7305,2,4.1,2.2,0.7,0.8,76.9,168200,16893,49.5,5.9,22.2,18.6,88.5,5.6,0.2,0.4,0,4.8,2.1,0.9,385,3867,1163,379,0,0,0,0,0,0,277406,0,31.35706326
Crawford County,Missouri,9285,2.42,84.2,13.6,8.7,82.7,1.4,1.7,27.3,52367,29581,14.7,11435,2.1,2.6,1.2,0.7,0.6,73.2,156500,23023,50.4,5.7,22.3,20.3,94.3,0.5,0.1,0.3,0.2,4,2.6,0.5,494,5507,1592,493,0,0,0,0,0,56,238671,31385,32.21649668
Dade County,Missouri,3020,2.45,89.4,14.4,8.6,88.6,1.9,1.6,25.5,46806,28731,17,3792,1.1,3.8,0,0.2,0.5,76.3,137400,7598,49.4,4.8,20.2,24.5,93.6,0.6,0.4,0.4,0,4.6,1.7,1.2,137,1054,554,158,0,0,0,0,0,0,42462,3492,15.43028534
Dallas County,Missouri,6604,2.56,88.9,13.3,9.3,90.7,1.5,5,31.9,46547,24646,20.6,7597,2,3.4,1,0.3,0.3,75.6,139400,17158,51,6.5,23.9,20.6,95.5,0.1,0.2,0.1,0,3.9,0.7,0.1,293,1778,1600,1711.8,16.6,0,41,0,0,0,115311,12540,31.20058616
Daviess County,Missouri,3016,2.73,87.1,20.1,8.9,88.1,0.5,9.6,32.1,59706,29497,13.8,4125,0.8,2.2,1.1,0.5,1.3,78,133400,8418,49.8,6.9,25.1,20.9,96.2,0.5,0.2,0.3,0.1,2.4,1,0.5,157,1073,802,164,0,0,0,0,0,0,64978,3986,14.69601343
DeKalb County,Missouri,3715,2.5,89.2,14.6,8.9,85.2,1.6,2.8,28.7,67910,25591,10.3,4255,5.4,5.2,3.5,0.2,2,69.9,160300,11838,39.8,5,18.1,18.1,86.3,8.2,0.5,1.1,0,3.5,1.4,0.3,214,2111,669,451,7.75,0,10,0,0,53,130079,9489,29.7775525
Dent County,Missouri,5825,2.46,85.6,17.3,11.8,91.2,1.9,1.4,21.9,51410,27342,16.8,6849,5.2,4.2,0.3,0.5,0.5,74.8,123300,14509,50,5.6,22.6,21.6,93,0.6,0.3,0.9,0.1,4.4,2.2,0.1,299,3554,977,257,0,0,0,0,0,0,123020,0,20.68784943
Douglas County,Missouri,4616,2.53,84.8,15.7,9.6,91.9,0.9,0.6,25,47848,27762,19.6,5419,0.3,1,0.1,0,0.6,81.3,148900,11803,49.2,5.4,22.3,24.9,93.5,0.5,1.1,0.1,0,4.7,1.2,0.3,203,2038,1227,185,0,0,0,0,0,0,101527,8917,16.2052918
Dunklin County,Missouri,11134,2.46,80,13.6,5.9,85.6,2.8,6.7,23,44868,26123,22,13492,3.3,3.8,0.6,0.3,2.5,62.5,93300,28174,52.1,6.6,25.7,18.4,80.2,7.9,0,0.2,0.1,10.7,6.1,0.1,659,6178,1696,575,0,0,0,0,0,101,428122,30623,53.83678693
Franklin County,Missouri,41512,2.5,90.4,21.4,8.3,89.6,1.3,1.8,29.1,70111,35679,8.1,45420,3.1,2.8,2.5,2.2,1.3,77.6,201700,104858,50,5.7,22.5,18.2,91.5,0.9,0.1,0.4,0,6.5,5.1,0.5,2677,36566,7418,3405.666667,200.2,0,188.0666667,0,51.6,737.6666667,1357778,166096,112.6829041
Gasconade County,Missouri,5970,2.44,88.9,19.3,8,90.1,0.6,1.6,28.2,62638,34414,11.9,7615,1.8,2.8,2.5,0.1,0.7,80.7,159100,14801,49.2,5.2,20.7,22.6,94.9,0.9,0.2,0.2,0.4,3.5,1.3,0.5,400,4711,1254,299,0,0,0,0,0,0,169285,24036,28.33499561
Gentry County,Missouri,2347,2.56,87.6,21.1,8.8,90.9,1.4,4.8,22.6,53799,28968,15.2,2934,1.4,5.3,0.9,1.1,1.3,75.6,115400,6219,51.2,6.8,25,18.7,96.1,0.5,0.3,1.6,0,0.8,0.9,1,185,1671,552,184,0,0,0,0,0,0,54309,0,13.37140318
Greene County,Missouri,131109,2.2,93.1,32.4,6.7,83.9,3.4,5.6,20.1,54968,33275,14.6,136889,2.4,2.2,3.7,5.5,9.4,56.7,182800,299188,51,5.7,20.8,16.8,87.8,3,0.2,1.9,0.1,5.4,3.2,1,8558,160067,24337,1711.8,16.6,0,41,0,0,0,5495544,812709,433.9913455
Grundy County,Missouri,3806,2.51,85.4,15,8.4,88.1,1.2,5.8,17.5,51045,27809,16.5,4848,1,6.3,1.2,1.9,1.8,68.3,111300,9878,51.2,7.1,25,21.7,94.5,0.4,0.3,1,0,3,1.9,0.2,229,1953,729,276,0,0,0,0,0,0,87215,6591,22.62848287
Harrison County,Missouri,3013,2.66,90.8,16.9,6,87.9,1.5,2,27.2,51809,24530,16.5,4041,5.3,5,1.4,1,1,71.4,95900,8190,49.6,6.1,24.1,22.1,96,1,0.4,0.4,0,2,1.1,0.3,181,1796,680,201,0,0,0,0,0,0,206934,11880,11.55959249
Henry County,Missouri,9241,2.36,89.1,15.9,11.2,82.3,0.8,2.3,24.4,54903,31801,15,10704,3.4,3.8,1.8,1.2,0.5,72.2,153600,22064,50.2,5.8,21.8,22.2,93.5,0.7,0.3,0.2,0,5,2.2,1.7,575,6975,1534,445,0,0,0,0,0,37,347815,34370,31.31382124
Hickory County,Missouri,3504,2.38,89.4,10.1,10.8,86.7,0.9,5.7,32.2,33302,21476,17.6,5547,0.8,1.6,0,0.1,0.1,82.4,108900,8452,49,3.9,16.9,33.6,95.5,0.2,0,0.5,0,3.4,0.5,0.5,155,859,772,137,0,0,0,0,0,0,64469,4265,23.93130451
Holt County,Missouri,1744,2.39,93.6,21.1,7.4,93,1.3,1.4,22.9,55153,33121,9.4,2440,1.2,3.8,0.9,0.1,0.8,78.6,115500,4274,50.1,4.9,20.1,25.6,95.5,0.7,0.3,0.5,0,2.9,0.8,0.6,136,853,426,85,0,0,0,0,0,0,56952,3754,9.516026801
Howard County,Missouri,3350,2.79,88.5,26.4,7.1,90.1,0.5,1.6,26.9,59023,27474,12.8,4387,2,4.6,0.3,0.5,0.2,81.7,140900,10142,49,5.7,21.9,19.3,87.9,5.9,1.4,0.3,0.1,3.8,3.1,0.5,187,2116,730,170,0,0,0,0,0,0,49962,4867,21.56316122
Howell County,Missouri,15433,2.55,86.2,18,9.8,88.6,1.2,2.8,20.7,46401,24389,23,18081,1.6,2.9,2.5,1,1.7,68.8,141600,39960,51.3,6.1,24,19.6,93.9,0.5,0.4,0.5,0,4,2.3,1.2,1113,13098,3251,953,0,0,0,0,0,193,612730,56016,43.26456481
Iron County,Missouri,3821,2.4,86.3,18.8,8.7,89.7,1.5,1.5,27.1,53401,26798,19.5,4730,1.3,4.9,0.6,0.8,1,78.1,109400,9538,50.1,5.3,20.9,22,92.5,0.7,0.2,0.9,0.1,5.2,3.2,0.4,196,1742,533,193,0,0,0,0,0,0,60266,5903,18.40024412
Jackson County,Missouri,298908,2.36,91.7,33,6.7,85.9,6,9.3,23.6,65169,36890,13.9,330584,3,3.9,5,4.7,10.5,58.5,196900,715526,51.3,6.3,23.3,15.4,64.4,22.8,0.4,1.8,0.3,6.7,6.7,2.1,18253,332758,53225,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,10337678,2219258,1162.931543
Jasper County,Missouri,47481,2.54,88.3,24.7,8.1,85.4,4,6.7,18.7,54963,28371,18.5,53018,3.7,3.2,3.8,2.1,3.7,63.2,147500,122788,50.8,6.5,24.6,15.8,86.4,1.9,1,1.3,0.3,7.1,5,4.2,2805,48371,7691,1404,0,0,0,0,7,191.5,2229186,220798,190.0185214
Jefferson County,Missouri,86455,2.6,91.2,22.8,8.2,88.4,2.2,3.4,30.7,77217,36184,8.3,92590,1.7,2.1,2.3,1.8,1.5,80.7,202500,226984,49.9,5.7,22.8,15.7,91.5,1,0.1,1,0,5.8,4.6,0.6,3881,40399,15279,3405.666667,200.2,0,188.0666667,0,51.6,737.6666667,2163218,288124,342.8670481
Johnson County,Missouri,20613,2.42,92.4,28.4,13.8,76.3,3,5,23.1,62503,30639,12.3,22605,3.6,6.3,4.3,2.2,1.7,63.1,206600,54025,48.8,6.2,21.7,12.8,86.8,3.6,0.2,1.8,0.3,6.3,3.2,1,945,10276,3371,782,0,0,0,0,0,0,427709,86412,65.19305619
Knox County,Missouri,1154,3.17,85.2,16,9.3,86.3,2.3,3.9,22.4,49167,22902,12.7,1952,2.6,2.9,1.8,0,0,85,89000,3772,49.7,7.3,23.8,20.8,94,1.2,0.2,1.9,0.1,2.4,1.7,0.8,97,587,442,0,0,0,0,0,0,0,30037,0,7.855022282
